基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
006369,弘毅远方国企转型升级混合A,混合型-偏股,0.36,弘毅远方基金,1.1085,章劲,2022-07-08,17.61%,-0.99,-40.63%,0.85%
009006,创金合信鑫祺混合C,混合型-偏债,7.48,创金合信基金,1.1085,闫一帆,2020-03-20,5.71%,0.15,7.22%,None
012395,兴业60天滚动持有短债债券A,债券型-中短债,1.92,兴业基金,1.1085,刘禹含,2021-06-25,None,None,10.79%,None
970146,财达证券稳达三个月滚动持有债券A,债券型-混合一级,2.78,财达证券,1.1085,孔雀,2022-03-28,None,None,None,None
014005,鑫元鸿利D,债券型-长债,3.98,鑫元基金,1.1084,赵慧,2021-10-26,None,None,None,None
014688,招商招景纯债D,债券型-长债,0.00,招商基金,1.1084,曹晋文,2022-11-11,None,None,None,None
001200,创金合信聚利债券C,债券型-混合二级,0.01,创金合信基金,1.1084,金莉,2023-08-14,4.77%,-0.64,-4.55%,-0.32%
400029,东方双债添利债券C,债券型-混合二级,0.07,东方基金,1.1083,杨贵宾,2019-11-14,8.87%,-0.41,-6.19%,7.39%
003156,招商招悦纯债A,债券型-长债,54.22,招商基金,1.1083,夏里鹏,2021-08-02,0.87%,3.70,14.84%,26.56%
160617,鹏华丰润债券(LOF),债券型-混合一级,7.57,鹏华基金,1.1082,刘太阳,2019-09-04,1.16%,0.78,7.39%,14.55%
007981,红塔红土瑞祥纯债A,债券型-长债,5.21,红塔红土,1.1082,陈纪靖,2019-12-30,0.40%,3.72,9.25%,None
006764,景顺长城景泰鑫利纯债A,债券型-长债,7.20,景顺长城基金,1.1082,何江波,2020-05-14,0.31%,3.37,7.81%,17.25%
021047,平安港股通红利精选混合发起式C,混合型-偏股,0.00,平安基金,1.1082,丁琳,2024-03-26,None,None,None,None
519060,海富通纯债债券C,债券型-长债,0.09,海富通基金,1.1081,何谦,2016-05-06,2.59%,-0.62,-0.35%,-1.41%
519933,长信利发债券,债券型-混合二级,0.71,长信基金,1.1081,程放,2020-12-31,3.12%,-0.16,3.01%,22.85%
002169,永赢稳益债券,债券型-长债,73.77,永赢基金,1.1081,陶毅,2020-05-11,0.62%,3.53,11.45%,19.22%
007516,融通增润三个月定开债,债券型-长债,38.96,融通基金,1.1081,刘舒乐,2023-07-12,0.58%,3.36,10.73%,None
009404,平安惠享纯债C,债券型-长债,0.30,平安基金,1.1081,苏宁,2021-05-28,1.20%,0.73,7.29%,None
020974,鑫元鸿利C,债券型-长债,0.01,鑫元基金,1.1081,赵慧,2024-03-13,None,None,None,None
