代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
010011,景顺长城景颐招利6个月持有期债券A,积极债券,5,0,2024-07-04,1.1513,-0.0007,7.46
519519,华泰柏瑞金字塔稳本增利债券A,积极债券,5,4,2024-07-04,1.0487,-0.0011,1.28
009077,红土创新稳进混合A,保守混合,5,0,2024-07-04,1.2597,-0.0002,2.87
003219,前海开源祥和债券C,积极债券,5,4,2024-07-04,1.4508,-0.0034,2.73
008858,华夏鼎航债券C,信用债,5,0,2024-07-04,1.2275,0.0004,3.70
002449,民生加银量化中国灵活配置混合A,灵活配置,5,5,2024-07-04,1.2560,-0.0060,2.11
515880,国泰中证全指通信设备ETF,行业股票-科技、传媒及通讯,5,0,2024-07-04,1.1612,-0.0078,12.07
002276,中邮纯债恒利债券A,积极债券,5,4,2024-07-04,1.2860,-0.0030,3.63
010353,南方崇元纯债债券A,纯债,5,0,2024-07-04,1.1660,0.0000,3.66
003592,华泰柏瑞享利灵活配置混合C,保守混合,5,5,2024-07-04,1.4513,-0.0011,3.95
009078,红土创新稳进混合C,保守混合,5,0,2024-07-04,1.2542,-0.0003,2.81
008798,国金惠安利率债债券A,利率债,5,0,2024-07-04,1.1448,-0.0003,4.86
004496,前海开源多元策略灵活配置混合A,沪港深积极配置,5,4,2024-07-04,2.2039,-0.0035,3.82
009689,易方达瑞锦混合发起式A,保守混合,5,0,2024-07-04,1.2036,0.0007,7.36
006242,宝盈盈润纯债A,纯债,5,0,2024-07-04,1.0582,0.0001,1.75
002139,泓德裕泰债券C,普通债券,5,5,2024-07-04,1.3577,0.0001,2.79
004497,前海开源多元策略灵活配置混合C,沪港深积极配置,5,4,2024-07-04,2.1631,-0.0035,3.76
217024,招商安盈债券A,积极债券,5,5,2024-07-04,1.1163,-0.0025,4.29
008799,国金惠安利率债债券C,利率债,5,0,2024-07-04,1.1396,-0.0002,4.81
164606,华泰柏瑞信用增利债券（LOF）,积极债券,5,4,2024-07-04,1.1624,-0.0004,1.34
000743,红塔红土盛世普益灵活配置混合,灵活配置,5,5,2024-07-04,1.2221,-0.0013,3.66
008054,汇添富中债7-10年国开行债券指数A,利率债,5,0,2024-07-04,1.1795,-0.0004,4.56
000130,大成景兴信用债债券A,普通债券,5,4,2024-07-04,1.5710,-0.0010,3.86
511270,海富通上证10年期地方政府债ETF,利率债,5,5,2024-07-04,113.6799,0.0397,4.75
460003,华泰柏瑞金字塔稳本增利债券B,积极债券,5,4,2024-07-04,1.0448,-0.0012,1.12
008270,大成睿享混合C,沪港深积极配置,5,0,2024-07-04,1.3051,-0.0096,-0.37
002277,中邮纯债恒利债券C,积极债券,5,4,2024-07-04,1.2680,-0.0030,3.51
970025,华安证券聚赢一年持有期债券B,普通债券,5,0,2024-07-04,1.1861,-0.0002,2.59
009263,华宝红利精选混合A,积极配置 - 大盘平衡,5,0,2024-07-04,1.2105,-0.0023,17.02
009690,易方达瑞锦混合发起式C,保守混合,5,0,2024-07-04,1.1940,0.0007,7.24
010012,景顺长城景颐招利6个月持有期债券C,积极债券,5,0,2024-07-04,1.1337,-0.0007,7.23
675091,西部利得祥逸债券A,纯债,5,3,2024-07-04,1.0197,0.0001,2.86
008055,汇添富中债7-10年国开行债券指数C,利率债,5,0,2024-07-04,1.1733,-0.0004,4.50
012233,招商安盈债券C,积极债券,5,0,2024-07-04,1.1101,-0.0025,4.18
006970,广发景利纯债债券A,纯债,5,0,2024-07-04,1.0247,-0.0008,5.04
006747,东海祥利纯债债券,信用债,5,1,2024-07-04,1.0658,0.0003,3.20
007859,平安5-10年期政策性金融债债券A,利率债,5,0,2024-07-04,1.0932,-0.0004,3.69
006708,永赢宏益债券C,纯债,5,5,2024-07-04,1.2912,0.0003,3.18
007108,太平 MSCI 香港价值增强指数C,香港股票,5,0,2024-07-04,1.1526,0.0052,13.46
675093,西部利得祥逸债券C,纯债,5,0,2024-07-04,1.0269,0.0002,2.81
004814,中欧红利优享灵活配置混合A,积极配置 - 大盘平衡,5,4,2024-07-04,1.5510,0.0019,18.91
002550,嘉实稳荣债券,信用债,5,5,2024-07-04,1.0290,0.0001,3.45
010354,南方崇元纯债债券C,纯债,5,0,2024-07-04,1.1505,-0.0001,3.45
007950,招商量化精选股票C,中盘平衡股票,5,0,2024-07-04,2.0139,-0.0356,-5.77
001993,博时裕泰纯债债券,纯债,5,5,2024-07-04,1.3420,0.0001,2.19
000931,国寿安保尊益信用纯债债券,普通债券,5,5,2024-07-04,1.2683,-0.0002,3.60
630003,华商收益增强债券A,积极债券,5,3,2024-07-04,1.4110,-0.0060,-0.70
002775,博时景兴纯债债券,信用债,5,5,2024-07-04,1.0594,0.0002,2.79
160323,华夏磐泰混合（LOF）A,保守混合,5,5,2024-07-04,1.3841,-0.0126,-1.84
007860,平安5-10年期政策性金融债债券C,利率债,5,0,2024-07-04,1.1816,-0.0004,3.63
008271,大成优势企业混合A,积极配置 - 大盘平衡,5,0,2024-07-04,1.9625,0.0006,12.35
270044,广发双债添利债券A,信用债,5,4,2024-07-04,1.2350,0.0004,4.02
000914,中加纯债债券,信用债,5,5,2024-07-04,1.0826,0.0001,2.77
003547,鹏华丰禄债券,信用债,5,5,2024-07-04,1.0724,0.0000,2.75
001021,华夏亚债中国指数A,利率债,5,5,2024-07-04,1.2727,-0.0004,3.91
970022,信达丰睿六个月持有期债券,普通债券,5,0,2024-07-04,1.1315,0.0001,1.78
