代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
014531,华夏MSCI中国A50互联互通ETF联接C,大盘平衡股票,0,0,2024-07-04,0.7581,-0.0004,7.55
014530,华夏MSCI中国A50互联互通ETF联接A,大盘平衡股票,0,0,2024-07-04,0.7639,-0.0003,7.71
014533,易方达MSCI中国A50互联互通ETF联接C,大盘平衡股票,0,0,2024-07-04,0.7748,-0.0002,7.97
014532,易方达MSCI中国A50互联互通ETF联接A,大盘平衡股票,0,0,2024-07-04,0.7807,-0.0002,8.13
012816,国泰致和混合A,沪港深积极配置,0,0,2024-07-04,0.6586,-0.0051,-8.89
013773,国泰睿元一年定期开放债券,纯债（封闭式）,0,0,2024-07-04,1.0148,-0.0002,2.14
012817,国泰致和混合C,沪港深积极配置,0,0,2024-07-04,0.6522,-0.0050,-9.08
014423,汇丰晋信研究精选混合,沪港深积极配置,0,0,2024-07-04,0.5338,-0.0063,-20.38
013668,永赢慧盈一年持有债券（FOF）A,积极债券,0,0,2024-07-03,1.0261,0.0010,1.68
013060,工银养老目标2060五年持有混合（FOF）,目标日期,0,0,2024-07-02,0.7106,-0.0040,-9.70
014446,鹏华稳瑞中短债,短债,0,0,2024-07-04,1.0773,0.0002,2.17
013669,永赢慧盈一年持有债券（FOF）C,积极债券,0,0,2024-07-03,1.0151,0.0010,1.48
014211,国投瑞银竞争优势混合C,沪港深积极配置,0,0,2024-07-04,0.6875,-0.0018,-8.05
014210,国投瑞银竞争优势混合A,沪港深积极配置,0,0,2024-07-04,0.6978,-0.0017,-7.77
014465,长盛安鑫中短债债券D,短债,0,0,2024-07-04,1.1229,0.0001,1.60
012921,易方达全球成长精选混合（QDII）A(美元现汇份额),QDII 环球股债混合,0,0,2024-07-03,$0.1714,0.0022,22.08
012920,易方达全球成长精选混合（QDII）A(人民币份额),QDII 环球股债混合,0,0,2024-07-03,1.2223,0.0159,22.96
012923,易方达全球成长精选混合（QDII）C(美元现汇份额),QDII 环球股债混合,0,0,2024-07-03,$0.1697,0.0022,21.91
012922,易方达全球成长精选混合（QDII）C(人民币份额),QDII 环球股债混合,0,0,2024-07-03,1.2100,0.0157,22.74
012991,大成民享安盈一年持有混合A,沪港深保守混合,0,0,2024-07-04,1.0520,-0.0015,4.55
013857,信澳优享债券A,短债,0,0,2024-07-04,1.0253,-0.0001,2.34
012992,大成民享安盈一年持有混合C,沪港深保守混合,0,0,2024-07-04,1.0422,-0.0015,4.33
014566,国泰君安善融稳健一年持有混合（FOF）A,保守混合,0,0,2024-07-02,0.9673,-0.0007,0.43
013858,信澳优享债券C,短债,0,0,2024-07-04,1.0228,-0.0001,1.07
013011,工银瑞信中证创新药产业ETF联接A,行业股票-医药,0,0,2024-07-04,0.5620,-0.0115,-26.94
014567,国泰君安善融稳健一年持有混合（FOF）C,保守混合,0,0,2024-07-02,0.9577,-0.0006,0.23
970112,兴证资管金麒麟兴睿优选一年持有期混合A,沪港深积极配置,0,0,2024-07-04,0.6684,0.0021,4.57
013012,工银瑞信中证创新药产业ETF联接C,行业股票-医药,0,0,2024-07-04,0.5606,-0.0115,-26.98
970114,兴证资管金麒麟兴睿优选一年持有期混合C,沪港深积极配置,0,0,2024-07-04,0.6552,0.0020,4.13
970113,兴证资管金麒麟兴睿优选一年持有期混合B,沪港深积极配置,0,0,2024-07-04,0.6584,0.0021,4.57
013335,鹏华价值远航6个月持有期混合C,沪港深积极配置,0,0,2024-07-04,0.8299,-0.0022,0.84
013334,鹏华价值远航6个月持有期混合A,沪港深积极配置,0,0,2024-07-04,0.8457,-0.0023,1.25
014320,德邦半导体产业混合C,行业混合 - 科技、传媒及通讯,0,0,2024-07-04,0.8485,-0.0154,-7.66
014319,德邦半导体产业混合A,行业混合 - 科技、传媒及通讯,0,0,2024-07-04,0.8569,-0.0155,-7.46
014494,万家鑫丰纯债债券E,纯债,0,0,2024-07-04,1.0153,0.0000,0.90
014435,中航瑞夏一年定开债A,纯债（封闭式）,0,0,2024-06-30,1.0242,0.0002,2.23
014436,中航瑞夏一年定开债C,纯债（封闭式）,0,0,2024-01-31,1.0000,-,-
014506,博时成长臻选混合A,沪港深积极配置,0,0,2024-07-04,0.8253,-0.0072,-7.33
014507,博时成长臻选混合C,沪港深积极配置,0,0,2024-07-04,0.8153,-0.0070,-7.56
014339,长江智能制造混合A,行业混合 - 科技、传媒及通讯,0,0,2024-07-04,0.9054,-0.0067,-8.53
014340,长江智能制造混合C,行业混合 - 科技、传媒及通讯,0,0,2024-07-04,0.8964,-0.0066,-8.72
014484,汇添富中债1-3年隐含评级AA+及以上信用债指数A,短债,0,0,2024-07-04,1.0849,0.0002,2.46
014485,汇添富中债1-3年隐含评级AA+及以上信用债指数C,短债,0,0,2024-07-04,1.0832,0.0002,2.40
014543,汇添富中证沪港深云计算产业指数A,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.7588,-0.0094,-6.11
014544,汇添富中证沪港深云计算产业指数C,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.7543,-0.0094,-6.23
014447,大成惠源一年定期开放债券,积极债券（封闭式）,0,0,2024-07-04,1.0482,0.0004,3.91
012904,摩根鑫睿优选一年持有期混合,沪港深积极配置,0,0,2024-07-04,0.7404,-0.0008,4.06
851816,海通鑫选三个月持有期债券C,积极债券,0,0,2024-07-04,0.9261,-0.0010,2.57
851810,海通鑫选三个月持有期债券A,积极债券,0,0,2024-07-04,0.9351,-0.0011,2.78
852300,海通鑫悦债券C,积极债券,0,0,2024-07-04,1.0288,0.0006,4.76
852389,海通鑫悦债券A,积极债券,0,0,2024-07-04,1.0400,0.0007,4.98
014135,中欧金安量化混合A,沪港深积极配置,0,0,2024-07-04,0.7840,-0.0126,-7.70
010866,嘉实福康稳健养老一年持有期混合（FOF）A,保守混合,0,0,2024-07-02,0.9485,-0.0011,0.96
014404,中欧多元价值三年持有混合A,沪港深积极配置,0,0,2024-07-04,0.6782,-0.0026,-6.08
014136,中欧金安量化混合C,沪港深积极配置,0,0,2024-07-04,0.7688,-0.0123,-8.07
014405,中欧多元价值三年持有混合C,沪港深积极配置,0,0,2024-07-04,0.6716,-0.0026,-6.27
014549,交银施罗德数据产业灵活配置混合C,积极配置 - 大盘成长,0,0,2024-07-04,1.5559,-0.0014,-14.89
014538,长城研究精选混合C,积极配置 - 大盘成长,0,0,2024-07-04,0.9694,-0.0057,-16.11
014364,银华沪港深增长股票C,沪港深股票,0,0,2024-07-04,1.7600,-0.0020,7.45
014373,浙商全景消费混合C,沪港深积极配置,0,0,2024-07-04,1.2566,-0.0141,-4.14
014553,中航瑞华ESG一年定开债C,信用债（封闭式）,0,0,2024-06-30,1.0330,0.0002,3.59
014552,中航瑞华ESG一年定开债A,信用债（封闭式）,0,0,2024-06-30,1.0376,0.0001,3.80
014261,摩根沃享远见一年持有期混合A,沪港深积极配置,0,0,2024-07-04,0.6886,-0.0007,5.92
159834,南方上海金ETF,商品 - 贵金属,0,0,2024-07-04,5.6046,0.0290,15.20
013871,招商能源转型混合A,沪港深积极配置,0,0,2024-07-04,0.5319,-0.0009,-17.99
014262,摩根沃享远见一年持有期混合C,沪港深积极配置,0,0,2024-07-04,0.6753,-0.0007,5.48
013607,广发睿恒进取一年持有期混合A,沪港深积极配置,0,0,2024-07-04,0.7342,-0.0071,-11.62
013872,招商能源转型混合C,沪港深积极配置,0,0,2024-07-04,0.5218,-0.0009,-18.33
014119,金鹰时代先锋混合A,沪港深积极配置,0,0,2024-07-04,0.4357,-0.0032,-13.28
013608,广发睿恒进取一年持有期混合C,沪港深积极配置,0,0,2024-07-04,0.7271,-0.0071,-11.80
970109,国联金如意双利一年持有债券A,积极债券,0,0,2024-07-04,1.0342,-0.0003,1.65
014120,金鹰时代先锋混合C,沪港深积极配置,0,0,2024-07-04,0.4273,-0.0032,-13.62
970111,国联金如意双利一年持有债券C,积极债券,0,0,2024-07-04,1.0272,-0.0003,1.49
970110,国联金如意双利一年持有债券B,积极债券,0,0,2024-07-04,1.0460,-0.0002,1.75
014540,华安优势精选混合C,沪港深积极配置,0,0,2024-07-04,0.5040,-0.0010,-13.10
014539,华安优势精选混合A,沪港深积极配置,0,0,2024-07-04,0.5101,-0.0011,-12.89
013766,平安恒泰1年持有混合C,沪港深保守混合,0,0,2024-07-04,0.9301,-0.0023,-0.24
013765,平安恒泰1年持有混合A,沪港深保守混合,0,0,2024-07-04,0.9411,-0.0023,0.01
013975,国投瑞银恒誉90天持有期中短债C,短债,0,0,2024-07-04,1.0772,0.0001,1.55
013974,国投瑞银恒誉90天持有期中短债A,短债,0,0,2024-07-04,1.0825,0.0001,1.65
014554,博时恒瑞混合A,沪港深保守混合,0,0,2024-07-04,0.9621,-0.0015,-0.16
014555,博时恒瑞混合C,沪港深保守混合,0,0,2024-07-04,0.9520,-0.0014,-0.38
014458,南方中债0-2年国开行债券指数E,短债,0,0,2024-07-04,1.0482,0.0000,1.56
